stID;Time;Temperature;Humidity
B4:E6:2D:48:03:41;28.02.2026 19:27:36;23.1;36.6
B4:E6:2D:48:03:41;28.02.2026 19:27:37;23.2;36.5
B4:E6:2D:48:03:41;28.02.2026 19:27:38;23.2;36.5
B4:E6:2D:48:03:41;28.02.2026 19:27:39;23.2;36.4
B4:E6:2D:48:03:41;28.02.2026 19:27:41;23.2;36.4
B4:E6:2D:48:03:41;28.02.2026 19:27:42;23.3;36.3
B4:E6:2D:48:03:41;28.02.2026 19:27:43;23.3;36.3
B4:E6:2D:48:03:41;28.02.2026 19:27:47;23.3;36.3
B4:E6:2D:48:03:41;28.02.2026 19:27:50;23.3;36.2
B4:E6:2D:48:03:41;28.02.2026 19:27:52;23.3;36.2
B4:E6:2D:48:03:41;28.02.2026 19:27:55;23.4;36.0
B4:E6:2D:48:03:41;28.02.2026 19:27:59;23.4;35.9
B4:E6:2D:48:03:41;28.02.2026 19:28:00;23.4;35.9
B4:E6:2D:48:03:41;28.02.2026 19:28:04;23.5;35.8
B4:E6:2D:48:03:41;28.02.2026 19:28:08;23.5;35.6
B4:E6:2D:48:03:41;28.02.2026 19:28:09;23.5;35.6
B4:E6:2D:48:03:41;28.02.2026 19:28:13;23.5;35.6
B4:E6:2D:48:03:41;28.02.2026 19:28:16;23.6;35.5
B4:E6:2D:48:03:41;28.02.2026 19:28:18;23.6;35.5
B4:E6:2D:48:03:41;28.02.2026 19:28:21;23.7;35.4
B4:E6:2D:48:03:41;28.02.2026 19:28:25;23.7;35.3
B4:E6:2D:48:03:41;28.02.2026 19:28:26;23.7;35.3
B4:E6:2D:48:03:41;28.02.2026 19:28:30;23.7;35.2
B4:E6:2D:48:03:41;28.02.2026 19:28:34;23.7;35.2
B4:E6:2D:48:03:41;28.02.2026 19:28:35;23.7;35.2
B4:E6:2D:48:03:41;28.02.2026 19:28:39;23.8;35.1
B4:E6:2D:48:03:41;28.02.2026 19:28:42;23.8;35.0
B4:E6:2D:48:03:41;28.02.2026 19:28:44;23.8;35.0
B4:E6:2D:48:03:41;28.02.2026 19:28:47;23.8;34.9
